id,summary
13594097-1,Lawrie found buyers for Ann's old sofa. Lawrie is going to send Ann pictures of the sofa tonight.
13594098-1,"Lucy is looking for her dad, she is worried. Patty suggests he probably has been drinking last night, and had his friends over."
13594116-1,Will asks if Greg and Betty will invite him to their party.
13594117-1,Linda bought a new pair of high heels and got a discount. She'll make an appointment at her hairdresser for Zoe. Linda bough high heels.
13594118-1,"Matt invites Agnes for a date to get to know each other better. Matt invited Agnes for a date on Saturday evening. They'll go to the Georgian restaurant in Kazimierz on Saturday at 6 pm, and he'll pick her up on the way to the place. They are going to Georgian restaurant."
13594125-1,Ben and Nathaniel had a test. Ben will share his notes with Nathaniel.
13594129-1,"Clark is changing jobs. Kate has to stay in the job because she took a mortgage last year and has children to keep. Kate proposes that Tom organizes it, as he's the most experience."
13594130-1,Andrew is angry because he wanted to take a few days off at the same time. Tom needs two days off because he's going to Manchester to see a football game.
13611371,Alex found a cheap flight Friday to Tuesday and Layla'll book a hotel on Booking. Alexa and Layla are going to Athens for the weekend.
13611381,They will meet on Saturday evening. They agreed to organise a party at 8.
13611389,"Brian needs two more weeks to finish the text, but has to work faster due to one of the sponsors pulling back. Joan will find a replacement for Brian. Joan is expecting a baby and will only represent Brian for another six months."
13611410,Anna had an argument with Joanna so it's not easy for George to talk to her. Joanna changed the research group in the last moment. Joanna and Anna had a common project.
13611417,Stacy isn't sure vodka is a good gift.
13611421,"Oscar arranged the dinner and movie evening with Charlotte's mum tomorrow. Charlotte will let Oscar know when she gets to the building. Tatiana hasn't finished the required trainings due tomorrow, so she'll have to cancel her plans of spending some time with her mom."
13611427,Lucy tells Ann about Adam's unpleasant behavior in the past.
13611429,Bryce is going out with Ree tonight.
13611452-1,Tom and Alison arrange a meeting on 12/20 to discuss helping Alison with her business. Tom has just finished his MA in e-commerce for small businesses. Tom and Alison haven't spoken in 2 years.
13611455,"John is currently in Poznan, but he lives in Warsaw, Poland. John and Jeanette experienced droughts this year and their farmers made less food. Jeanette is from Kokologo, Burkina Faso."
13611482,Angela made a translation on Monica's request.
13611492-1,Victoria has just spent 11 days in Cuba and she's going to Greece in the summer. William usually travels alone and meets friends on the way. Sophie will probably go to Cuba in summer.
13611493,"George has seen ""Friends"" 10 times. George didn't remember at all."
13611518,Addy and Adam are going to look at a room for rent. Tom wants to make sure the basics are included.
13611534,Ella agrees to call the doctor tomorrow.
13611540,Carol is getting a full body massage half price for 75. Liz will ask around but Carol doesn't want to know if she chose badly. Liz will wait until Carol goes to find out her opinion.
13611542,Niall and Mike are planning a surprise party for Tom's birthday next week.
13611544,Sebastian and Betty haven't talked for a long time. Sebastian's coming to Paris next week.
13611546,Rini got it wrong and would visit Rodrigues at his place tomorrow.
13611552,Linda forbids her daughter Sarah to stay at Dom's place for the night as Dom's parents won't be home. Linda expects Sarah to come home soon.
13611555,"Regina will send Grace a postcard and bring her something to eat from Romania. Christine has a family in Romania and has been there several times, so she is organizing the the trip. Grace can't come as she didn't get a leave at work."
13611571,Nadia found out from Jason he dated Anne and some other girl called Alexis at the same time.
13611575,"He had problems with the washer's settings, so Anna helped him."
13611579,Lily will live with Mia's mum till the end of January. Lily is going to Açores on the 19th. Mia will be around from 17th of October for a few days and she wants to surprise her mum.
